Year,State,Candidate,Party,Candidate Votes,Total Votes
1976,ALABAMA,"CARTER, JIMMY",DEMOCRAT,659170,1182850
1976,ALASKA,"FORD, GERALD",REPUBLICAN,71555,123574
1976,ARIZONA,"FORD, GERALD",REPUBLICAN,418642,742719
1976,ARKANSAS,"CARTER, JIMMY",DEMOCRAT,498604,767535
1976,CALIFORNIA,"FORD, GERALD",REPUBLICAN,3882244,7803770
1976,COLORADO,"FORD, GERALD",REPUBLICAN,584278,1081440
1976,CONNECTICUT,"FORD, GERALD",REPUBLICAN,719261,1386355
1976,DELAWARE,"CARTER, JIMMY",DEMOCRAT,122461,235642
1976,DISTRICT OF COLUMBIA,"CARTER, JIMMY",DEMOCRAT,137818,168830
1976,FLORIDA,"CARTER, JIMMY",DEMOCRAT,1636000,3150631
1976,GEORGIA,"CARTER, JIMMY",DEMOCRAT,979409,1463152
1976,HAWAII,"CARTER, JIMMY",DEMOCRAT,147375,291301
1976,IDAHO,"FORD, GERALD",REPUBLICAN,204151,340932
1976,ILLINOIS,"FORD, GERALD",REPUBLICAN,2364269,4721282
1976,INDIANA,"FORD, GERALD",REPUBLICAN,1183958,2220362
1976,IOWA,"FORD, GERALD",REPUBLICAN,632864,1279303
1976,KANSAS,"FORD, GERALD",REPUBLICAN,502752,957845
1976,KENTUCKY,"CARTER, JIMMY",DEMOCRAT,615717,1167142
1976,LOUISIANA,"CARTER, JIMMY",DEMOCRAT,661365,1277383
1976,MAINE,"FORD, GERALD",REPUBLICAN,236320,482968
1976,MARYLAND,"CARTER, JIMMY",DEMOCRAT,759612,1432273
1976,MASSACHUSETTS,"CARTER, JIMMY",DEMOCRAT,1429475,2547558
1976,MICHIGAN,"FORD, GERALD",REPUBLICAN,1893742,3651590
1976,MINNESOTA,"CARTER, JIMMY",DEMOCRAT,1070440,1949931
1976,MISSISSIPPI,"CARTER, JIMMY",DEMOCRAT,381329,768390
1976,MISSOURI,"CARTER, JIMMY",DEMOCRAT,998387,1953600
1976,MONTANA,"FORD, GERALD",REPUBLICAN,173703,328734
1976,NEBRASKA,"FORD, GERALD",REPUBLICAN,359219,606749
1976,NEVADA,"FORD, GERALD",REPUBLICAN,101273,201876
1976,NEW HAMPSHIRE,"FORD, GERALD",REPUBLICAN,185935,339627
1976,NEW JERSEY,"FORD, GERALD",REPUBLICAN,1509688,3014472
1976,NEW MEXICO,"FORD, GERALD",REPUBLICAN,211419,416590
1976,NEW YORK,"CARTER, JIMMY",DEMOCRAT,3244165,6668262
1976,NORTH CAROLINA,"CARTER, JIMMY",DEMOCRAT,927365,1677906
1976,NORTH DAKOTA,"FORD, GERALD",REPUBLICAN,153684,297308
1976,OHIO,"CARTER, JIMMY",DEMOCRAT,2009959,4110456
1976,OKLAHOMA,"FORD, GERALD",REPUBLICAN,545708,1092251
1976,OREGON,"FORD, GERALD",REPUBLICAN,492120,1029876
1976,PENNSYLVANIA,"CARTER, JIMMY",DEMOCRAT,2328677,4620787
1976,RHODE ISLAND,"CARTER, JIMMY",DEMOCRAT,227636,410584
1976,SOUTH CAROLINA,"CARTER, JIMMY",DEMOCRAT,450807,802583
1976,SOUTH DAKOTA,"FORD, GERALD",REPUBLICAN,151505,300678
1976,TENNESSEE,"CARTER, JIMMY",DEMOCRAT,825879,1476346
1976,TEXAS,"CARTER, JIMMY",DEMOCRAT,2082319,4071884
1976,UTAH,"FORD, GERALD",REPUBLICAN,337908,541218
1976,VERMONT,"FORD, GERALD",REPUBLICAN,100387,183902
1976,VIRGINIA,"FORD, GERALD",REPUBLICAN,836554,1697094
1976,WASHINGTON,"FORD, GERALD",REPUBLICAN,777732,1555534
1976,WEST VIRGINIA,"CARTER, JIMMY",DEMOCRAT,435864,750590
1976,WISCONSIN,"CARTER, JIMMY",DEMOCRAT,1040232,2101336
1976,WYOMING,"FORD, GERALD",REPUBLICAN,92717,156343
1980,ALABAMA,"REAGAN, RONALD",REPUBLICAN,654192,1341929
1980,ALASKA,"REAGAN, RONALD",REPUBLICAN,86112,158445
1980,ARIZONA,"REAGAN, RONALD",REPUBLICAN,529688,873945
1980,ARKANSAS,"REAGAN, RONALD",REPUBLICAN,403164,837582
1980,CALIFORNIA,"REAGAN, RONALD",REPUBLICAN,4522994,8582938
1980,COLORADO,"REAGAN, RONALD",REPUBLICAN,652264,1184450
1980,CONNECTICUT,"REAGAN, RONALD",REPUBLICAN,677210,1406285
1980,DELAWARE,"REAGAN, RONALD",REPUBLICAN,111252,235668
1980,DISTRICT OF COLUMBIA,"CARTER, JIMMY",DEMOCRAT,130231,173889
1980,FLORIDA,"REAGAN, RONALD",REPUBLICAN,2046951,3686927
1980,GEORGIA,"CARTER, JIMMY",DEMOCRAT,890955,1596805
1980,HAWAII,"CARTER, JIMMY",DEMOCRAT,135879,303287
1980,IDAHO,"REAGAN, RONALD",REPUBLICAN,290699,437431
1980,ILLINOIS,"REAGAN, RONALD",REPUBLICAN,2358049,4749721
1980,INDIANA,"REAGAN, RONALD",REPUBLICAN,1255656,2242033
1980,IOWA,"REAGAN, RONALD",REPUBLICAN,676026,1317661
1980,KANSAS,"REAGAN, RONALD",REPUBLICAN,566812,979795
1980,KENTUCKY,"REAGAN, RONALD",REPUBLICAN,635274,1295627
1980,LOUISIANA,"REAGAN, RONALD",REPUBLICAN,792853,1548591
1980,MAINE,"REAGAN, RONALD",REPUBLICAN,238522,523011
1980,MARYLAND,"CARTER, JIMMY",DEMOCRAT,726161,1540496
1980,MASSACHUSETTS,"REAGAN, RONALD",REPUBLICAN,1057631,2524090
1980,MICHIGAN,"REAGAN, RONALD",REPUBLICAN,1915225,3909725
1980,MINNESOTA,"CARTER, JIMMY",DEMOCRAT,954173,2051916
1980,MISSISSIPPI,"REAGAN, RONALD",REPUBLICAN,441089,891750
1980,MISSOURI,"REAGAN, RONALD",REPUBLICAN,1074181,2099824
1980,MONTANA,"REAGAN, RONALD",REPUBLICAN,206814,363952
1980,NEBRASKA,"REAGAN, RONALD",REPUBLICAN,419214,639533
1980,NEVADA,"REAGAN, RONALD",REPUBLICAN,155017,243692
1980,NEW HAMPSHIRE,"REAGAN, RONALD",REPUBLICAN,221705,383990
1980,NEW JERSEY,"REAGAN, RONALD",REPUBLICAN,1546557,2975684
1980,NEW MEXICO,"REAGAN, RONALD",REPUBLICAN,250779,456237
1980,NEW YORK,"CARTER, JIMMY",DEMOCRAT,2728372,6201959
1980,NORTH CAROLINA,"REAGAN, RONALD",REPUBLICAN,915018,1855833
1980,NORTH DAKOTA,"REAGAN, RONALD",REPUBLICAN,193695,301116
1980,OHIO,"REAGAN, RONALD",REPUBLICAN,2206545,4283603
1980,OKLAHOMA,"REAGAN, RONALD",REPUBLICAN,695570,1149708
1980,OREGON,"REAGAN, RONALD",REPUBLICAN,571044,1181516
1980,PENNSYLVANIA,"REAGAN, RONALD",REPUBLICAN,2261872,4561501
1980,RHODE ISLAND,"CARTER, JIMMY",DEMOCRAT,198342,415967
1980,SOUTH CAROLINA,"REAGAN, RONALD",REPUBLICAN,439277,888258
1980,SOUTH DAKOTA,"REAGAN, RONALD",REPUBLICAN,198343,327703
1980,TENNESSEE,"REAGAN, RONALD",REPUBLICAN,787761,1617616
1980,TEXAS,"REAGAN, RONALD",REPUBLICAN,2510705,4541636
1980,UTAH,"REAGAN, RONALD",REPUBLICAN,439687,604152
1980,VERMONT,"REAGAN, RONALD",REPUBLICAN,94628,213299
1980,VIRGINIA,"REAGAN, RONALD",REPUBLICAN,989609,1866032
1980,WASHINGTON,"REAGAN, RONALD",REPUBLICAN,865244,1742394
1980,WEST VIRGINIA,"CARTER, JIMMY",DEMOCRAT,367462,737715
1980,WISCONSIN,"REAGAN, RONALD",REPUBLICAN,1088845,2273221
1980,WYOMING,"REAGAN, RONALD",REPUBLICAN,110700,176713
1984,ALABAMA,"REAGAN, RONALD",REPUBLICAN,872849,1441713
1984,ALASKA,"REAGAN, RONALD",REPUBLICAN,138377,207605
1984,ARIZONA,"REAGAN, RONALD",REPUBLICAN,681416,1025897
1984,ARKANSAS,"REAGAN, RONALD",REPUBLICAN,534774,884406
1984,CALIFORNIA,"REAGAN, RONALD",REPUBLICAN,5467009,9505041
1984,COLORADO,"REAGAN, RONALD",REPUBLICAN,821817,1295380
1984,CONNECTICUT,"REAGAN, RONALD",REPUBLICAN,890877,1466900
1984,DELAWARE,"REAGAN, RONALD",REPUBLICAN,152190,254572
1984,DISTRICT OF COLUMBIA,"MONDALE, WALTER",DEMOCRAT,180408,211288
1984,FLORIDA,"REAGAN, RONALD",REPUBLICAN,2730350,4180051
1984,GEORGIA,"REAGAN, RONALD",REPUBLICAN,1068722,1776103
1984,HAWAII,"REAGAN, RONALD",REPUBLICAN,185050,335846
1984,IDAHO,"REAGAN, RONALD",REPUBLICAN,297523,411144
1984,ILLINOIS,"REAGAN, RONALD",REPUBLICAN,2707103,4819088
1984,INDIANA,"REAGAN, RONALD",REPUBLICAN,1377230,2233069
1984,IOWA,"REAGAN, RONALD",REPUBLICAN,703088,1319805
1984,KANSAS,"REAGAN, RONALD",REPUBLICAN,677296,1021991
1984,KENTUCKY,"REAGAN, RONALD",REPUBLICAN,821702,1369345
1984,LOUISIANA,"REAGAN, RONALD",REPUBLICAN,1037299,1706822
1984,MAINE,"REAGAN, RONALD",REPUBLICAN,336500,553144
1984,MARYLAND,"REAGAN, RONALD",REPUBLICAN,879918,1675873
1984,MASSACHUSETTS,"REAGAN, RONALD",REPUBLICAN,1310936,2559383
1984,MICHIGAN,"REAGAN, RONALD",REPUBLICAN,2251571,3801658
1984,MINNESOTA,"MONDALE, WALTER",DEMOCRAT,1036364,2084449
1984,MISSISSIPPI,"REAGAN, RONALD",REPUBLICAN,582377,941104
1984,MISSOURI,"REAGAN, RONALD",REPUBLICAN,1274188,2122771
1984,MONTANA,"REAGAN, RONALD",REPUBLICAN,232450,384377
1984,NEBRASKA,"REAGAN, RONALD",REPUBLICAN,460054,652090
1984,NEVADA,"REAGAN, RONALD",REPUBLICAN,188770,282717
1984,NEW HAMPSHIRE,"REAGAN, RONALD",REPUBLICAN,267050,388904
1984,NEW JERSEY,"REAGAN, RONALD",REPUBLICAN,1933630,3217862
1984,NEW MEXICO,"REAGAN, RONALD",REPUBLICAN,307101,514370
1984,NEW YORK,"REAGAN, RONALD",REPUBLICAN,3376519,6806810
1984,NORTH CAROLINA,"REAGAN, RONALD",REPUBLICAN,1346481,2175361
1984,NORTH DAKOTA,"REAGAN, RONALD",REPUBLICAN,200336,308971
1984,OHIO,"REAGAN, RONALD",REPUBLICAN,2678559,4563235
1984,OKLAHOMA,"REAGAN, RONALD",REPUBLICAN,861530,1255676
1984,OREGON,"REAGAN, RONALD",REPUBLICAN,685700,1226527
1984,PENNSYLVANIA,"REAGAN, RONALD",REPUBLICAN,2584323,4844903
1984,RHODE ISLAND,"REAGAN, RONALD",REPUBLICAN,212080,410489
1984,SOUTH CAROLINA,"REAGAN, RONALD",REPUBLICAN,615539,968529
1984,SOUTH DAKOTA,"REAGAN, RONALD",REPUBLICAN,200267,317867
1984,TENNESSEE,"REAGAN, RONALD",REPUBLICAN,990212,1711993
1984,TEXAS,"REAGAN, RONALD",REPUBLICAN,3433428,5397571
1984,UTAH,"REAGAN, RONALD",REPUBLICAN,469105,629656
1984,VERMONT,"REAGAN, RONALD",REPUBLICAN,135865,234561
1984,VIRGINIA,"REAGAN, RONALD",REPUBLICAN,1337078,2146635
1984,WASHINGTON,"REAGAN, RONALD",REPUBLICAN,1051670,1874910
1984,WEST VIRGINIA,"REAGAN, RONALD",REPUBLICAN,405483,735742
1984,WISCONSIN,"REAGAN, RONALD",REPUBLICAN,1198584,2211689
1984,WYOMING,"REAGAN, RONALD",REPUBLICAN,133241,188968
1988,ALABAMA,"BUSH, GEORGE H.W.",REPUBLICAN,815576,1378476
1988,ALASKA,"BUSH, GEORGE H.W.",REPUBLICAN,119251,200116
1988,ARIZONA,"BUSH, GEORGE H.W.",REPUBLICAN,702541,1171873
1988,ARKANSAS,"BUSH, GEORGE H.W.",REPUBLICAN,466578,827738
1988,CALIFORNIA,"BUSH, GEORGE H.W.",REPUBLICAN,5054917,9887065
1988,COLORADO,"BUSH, GEORGE H.W.",REPUBLICAN,728177,1372394
1988,CONNECTICUT,"BUSH, GEORGE H.W.",REPUBLICAN,750241,1443394
1988,DELAWARE,"BUSH, GEORGE H.W.",REPUBLICAN,139639,249891
1988,DISTRICT OF COLUMBIA,"DUKAKIS, MICHAEL",DEMOCRAT,159407,192877
1988,FLORIDA,"BUSH, GEORGE H.W.",REPUBLICAN,2618885,4302313
1988,GEORGIA,"BUSH, GEORGE H.W.",REPUBLICAN,1081331,1809672
1988,HAWAII,"DUKAKIS, MICHAEL",DEMOCRAT,192364,354461
1988,IDAHO,"BUSH, GEORGE H.W.",REPUBLICAN,253881,408968
1988,ILLINOIS,"BUSH, GEORGE H.W.",REPUBLICAN,2310939,4559120
1988,INDIANA,"BUSH, GEORGE H.W.",REPUBLICAN,1297763,2168621
1988,IOWA,"DUKAKIS, MICHAEL",DEMOCRAT,670557,1225614
1988,KANSAS,"BUSH, GEORGE H.W.",REPUBLICAN,554049,993044
1988,KENTUCKY,"BUSH, GEORGE H.W.",REPUBLICAN,734281,1322517
1988,LOUISIANA,"BUSH, GEORGE H.W.",REPUBLICAN,883702,1628202
1988,MAINE,"BUSH, GEORGE H.W.",REPUBLICAN,307131,555035
1988,MARYLAND,"BUSH, GEORGE H.W.",REPUBLICAN,876167,1714358
1988,MASSACHUSETTS,"DUKAKIS, MICHAEL",DEMOCRAT,1401415,2632801
1988,MICHIGAN,"BUSH, GEORGE H.W.",REPUBLICAN,1965486,3669163
1988,MINNESOTA,"DUKAKIS, MICHAEL",DEMOCRAT,1109471,2096790
1988,MISSISSIPPI,"BUSH, GEORGE H.W.",REPUBLICAN,557890,931527
1988,MISSOURI,"BUSH, GEORGE H.W.",REPUBLICAN,1084953,2093228
1988,MONTANA,"BUSH, GEORGE H.W.",REPUBLICAN,190412,365674
1988,NEBRASKA,"BUSH, GEORGE H.W.",REPUBLICAN,397956,661465
1988,NEVADA,"BUSH, GEORGE H.W.",REPUBLICAN,206040,343133
1988,NEW HAMPSHIRE,"BUSH, GEORGE H.W.",REPUBLICAN,281537,450525
1988,NEW JERSEY,"BUSH, GEORGE H.W.",REPUBLICAN,1743192,3099553
1988,NEW MEXICO,"BUSH, GEORGE H.W.",REPUBLICAN,270341,521387
1988,NEW YORK,"DUKAKIS, MICHAEL",DEMOCRAT,3255487,6485683
1988,NORTH CAROLINA,"BUSH, GEORGE H.W.",REPUBLICAN,1237258,2134370
1988,NORTH DAKOTA,"BUSH, GEORGE H.W.",REPUBLICAN,166559,297261
1988,OHIO,"BUSH, GEORGE H.W.",REPUBLICAN,2416549,4393585
1988,OKLAHOMA,"BUSH, GEORGE H.W.",REPUBLICAN,678367,1171036
1988,OREGON,"DUKAKIS, MICHAEL",DEMOCRAT,616206,1201694
1988,PENNSYLVANIA,"BUSH, GEORGE H.W.",REPUBLICAN,2300087,4536251
1988,RHODE ISLAND,"DUKAKIS, MICHAEL",DEMOCRAT,225123,404622
1988,SOUTH CAROLINA,"BUSH, GEORGE H.W.",REPUBLICAN,606443,986009
1988,SOUTH DAKOTA,"BUSH, GEORGE H.W.",REPUBLICAN,165415,312991
1988,TENNESSEE,"BUSH, GEORGE H.W.",REPUBLICAN,947233,1636250
1988,TEXAS,"BUSH, GEORGE H.W.",REPUBLICAN,3036829,5427410
1988,UTAH,"BUSH, GEORGE H.W.",REPUBLICAN,428442,647008
1988,VERMONT,"BUSH, GEORGE H.W.",REPUBLICAN,124331,243328
1988,VIRGINIA,"BUSH, GEORGE H.W.",REPUBLICAN,1309162,2191609
1988,WASHINGTON,"DUKAKIS, MICHAEL",DEMOCRAT,933516,1865253
1988,WEST VIRGINIA,"DUKAKIS, MICHAEL",DEMOCRAT,341016,653311
1988,WISCONSIN,"DUKAKIS, MICHAEL",DEMOCRAT,1126794,2191608
1988,WYOMING,"BUSH, GEORGE H.W.",REPUBLICAN,106867,176551
1992,ALABAMA,"BUSH, GEORGE H.W.",REPUBLICAN,804283,1688060
1992,ALASKA,"BUSH, GEORGE H.W.",REPUBLICAN,102000,258506
1992,ARIZONA,"BUSH, GEORGE H.W.",REPUBLICAN,572086,1486975
1992,ARKANSAS,"CLINTON, BILL",DEMOCRAT,505823,950653
1992,CALIFORNIA,"CLINTON, BILL",DEMOCRAT,5121325,11131721
1992,COLORADO,"CLINTON, BILL",DEMOCRAT,629681,1569180
1992,CONNECTICUT,"CLINTON, BILL",DEMOCRAT,682318,1616156
1992,DELAWARE,"CLINTON, BILL",DEMOCRAT,126054,289620
1992,DISTRICT OF COLUMBIA,"CLINTON, BILL",DEMOCRAT,192619,227572
1992,FLORIDA,"BUSH, GEORGE H.W.",REPUBLICAN,2173310,5313392
1992,GEORGIA,"CLINTON, BILL",DEMOCRAT,1008966,2321133
1992,HAWAII,"CLINTON, BILL",DEMOCRAT,179310,372842
1992,IDAHO,"BUSH, GEORGE H.W.",REPUBLICAN,202645,482114
1992,ILLINOIS,"CLINTON, BILL",DEMOCRAT,2453350,5050157
1992,INDIANA,"BUSH, GEORGE H.W.",REPUBLICAN,989375,2305871
1992,IOWA,"CLINTON, BILL",DEMOCRAT,586353,1354607
1992,KANSAS,"BUSH, GEORGE H.W.",REPUBLICAN,449951,1157236
1992,KENTUCKY,"CLINTON, BILL",DEMOCRAT,665104,1492900
1992,LOUISIANA,"CLINTON, BILL",DEMOCRAT,815971,1790017
1992,MAINE,"CLINTON, BILL",DEMOCRAT,263420,679499
1992,MARYLAND,"CLINTON, BILL",DEMOCRAT,988571,1984580
1992,MASSACHUSETTS,"CLINTON, BILL",DEMOCRAT,1318639,2773664
1992,MICHIGAN,"CLINTON, BILL",DEMOCRAT,1871182,4274673
1992,MINNESOTA,"CLINTON, BILL",DEMOCRAT,1020997,2347948
1992,MISSISSIPPI,"BUSH, GEORGE H.W.",REPUBLICAN,487793,981793
1992,MISSOURI,"CLINTON, BILL",DEMOCRAT,1053873,2391270
1992,MONTANA,"CLINTON, BILL",DEMOCRAT,154507,410583
1992,NEBRASKA,"BUSH, GEORGE H.W.",REPUBLICAN,343678,737546
1992,NEVADA,"CLINTON, BILL",DEMOCRAT,189148,506318
1992,NEW HAMPSHIRE,"CLINTON, BILL",DEMOCRAT,209040,537215
1992,NEW JERSEY,"CLINTON, BILL",DEMOCRAT,1436206,3343594
1992,NEW MEXICO,"CLINTON, BILL",DEMOCRAT,261617,569986
1992,NEW YORK,"CLINTON, BILL",DEMOCRAT,3346894,7079432
1992,NORTH CAROLINA,"BUSH, GEORGE H.W.",REPUBLICAN,1134661,2611850
1992,NORTH DAKOTA,"BUSH, GEORGE H.W.",REPUBLICAN,136244,308133
1992,OHIO,"CLINTON, BILL",DEMOCRAT,1984942,4939967
1992,OKLAHOMA,"BUSH, GEORGE H.W.",REPUBLICAN,592929,1390359
1992,OREGON,"CLINTON, BILL",DEMOCRAT,621314,1462643
1992,PENNSYLVANIA,"CLINTON, BILL",DEMOCRAT,2239164,4959810
1992,RHODE ISLAND,"CLINTON, BILL",DEMOCRAT,213299,453365
1992,SOUTH CAROLINA,"BUSH, GEORGE H.W.",REPUBLICAN,577507,1228912
1992,SOUTH DAKOTA,"BUSH, GEORGE H.W.",REPUBLICAN,136718,336254
1992,TENNESSEE,"CLINTON, BILL",DEMOCRAT,933521,1982638
1992,TEXAS,"BUSH, GEORGE H.W.",REPUBLICAN,2496071,6154018
1992,UTAH,"BUSH, GEORGE H.W.",REPUBLICAN,322632,743998
1992,VERMONT,"CLINTON, BILL",DEMOCRAT,133592,289701
1992,VIRGINIA,"BUSH, GEORGE H.W.",REPUBLICAN,1150517,2559129
1992,WASHINGTON,"CLINTON, BILL",DEMOCRAT,993037,2287565
1992,WEST VIRGINIA,"CLINTON, BILL",DEMOCRAT,331001,683677
1992,WISCONSIN,"CLINTON, BILL",DEMOCRAT,1041066,2531064
1992,WYOMING,"BUSH, GEORGE H.W.",REPUBLICAN,79347,199884
1996,ALABAMA,"DOLE, ROBERT",REPUBLICAN,769044,1534349
1996,ALASKA,"DOLE, ROBERT",REPUBLICAN,122746,241620
1996,ARIZONA,"CLINTON, BILL",DEMOCRAT,653288,1404405
1996,ARKANSAS,"CLINTON, BILL",DEMOCRAT,475171,884262
1996,CALIFORNIA,"CLINTON, BILL",DEMOCRAT,5119835,10019469
1996,COLORADO,"DOLE, ROBERT",REPUBLICAN,691848,1510702
1996,CONNECTICUT,"CLINTON, BILL",DEMOCRAT,735740,1392614
1996,DELAWARE,"CLINTON, BILL",DEMOCRAT,140355,270810
1996,DISTRICT OF COLUMBIA,"CLINTON, BILL",DEMOCRAT,158220,185726
1996,FLORIDA,"CLINTON, BILL",DEMOCRAT,2546870,5303154
1996,GEORGIA,"DOLE, ROBERT",REPUBLICAN,1080843,2298899
1996,HAWAII,"CLINTON, BILL",DEMOCRAT,205012,360120
1996,IDAHO,"DOLE, ROBERT",REPUBLICAN,256595,491711
1996,ILLINOIS,"CLINTON, BILL",DEMOCRAT,2341744,4311391
1996,INDIANA,"DOLE, ROBERT",REPUBLICAN,1006693,2135431
1996,IOWA,"CLINTON, BILL",DEMOCRAT,620258,1234075
1996,KANSAS,"DOLE, ROBERT",REPUBLICAN,583245,1074300
1996,KENTUCKY,"CLINTON, BILL",DEMOCRAT,636614,1388708
1996,LOUISIANA,"CLINTON, BILL",DEMOCRAT,927837,1783959
1996,MAINE,"CLINTON, BILL",DEMOCRAT,312788,605897
1996,MARYLAND,"CLINTON, BILL",DEMOCRAT,966207,1780870
1996,MASSACHUSETTS,"CLINTON, BILL",DEMOCRAT,1571509,2556459
1996,MICHIGAN,"CLINTON, BILL",DEMOCRAT,1989653,3848844
1996,MINNESOTA,"CLINTON, BILL",DEMOCRAT,1120380,2192492
1996,MISSISSIPPI,"DOLE, ROBERT",REPUBLICAN,439838,893857
1996,MISSOURI,"CLINTON, BILL",DEMOCRAT,1025935,2158065
1996,MONTANA,"DOLE, ROBERT",REPUBLICAN,179652,407083
1996,NEBRASKA,"DOLE, ROBERT",REPUBLICAN,363467,677415
1996,NEVADA,"CLINTON, BILL",DEMOCRAT,203974,464279
1996,NEW HAMPSHIRE,"CLINTON, BILL",DEMOCRAT,246166,496597
1996,NEW JERSEY,"CLINTON, BILL",DEMOCRAT,1652361,3075860
1996,NEW MEXICO,"CLINTON, BILL",DEMOCRAT,273495,556074
1996,NEW YORK,"CLINTON, BILL",DEMOCRAT,3649630,6439129
1996,NORTH CAROLINA,"DOLE, ROBERT",REPUBLICAN,1225938,2515807
1996,NORTH DAKOTA,"DOLE, ROBERT",REPUBLICAN,125050,266411
1996,OHIO,"CLINTON, BILL",DEMOCRAT,2148222,4534434
1996,OKLAHOMA,"DOLE, ROBERT",REPUBLICAN,582315,1206713
1996,OREGON,"CLINTON, BILL",DEMOCRAT,649641,1377760
1996,PENNSYLVANIA,"CLINTON, BILL",DEMOCRAT,2215819,4501307
1996,RHODE ISLAND,"CLINTON, BILL",DEMOCRAT,233050,390247
1996,SOUTH CAROLINA,"DOLE, ROBERT",REPUBLICAN,573339,1150182
1996,SOUTH DAKOTA,"DOLE, ROBERT",REPUBLICAN,150543,323826
1996,TENNESSEE,"CLINTON, BILL",DEMOCRAT,909146,1894105
1996,TEXAS,"DOLE, ROBERT",REPUBLICAN,2736167,5611644
1996,UTAH,"DOLE, ROBERT",REPUBLICAN,361911,665629
1996,VERMONT,"CLINTON, BILL",DEMOCRAT,137894,258449
1996,VIRGINIA,"DOLE, ROBERT",REPUBLICAN,1138350,2416642
1996,WASHINGTON,"CLINTON, BILL",DEMOCRAT,1123323,2253837
1996,WEST VIRGINIA,"CLINTON, BILL",DEMOCRAT,327812,636459
1996,WISCONSIN,"CLINTON, BILL",DEMOCRAT,1071971,2196169
1996,WYOMING,"DOLE, ROBERT",REPUBLICAN,105388,211571
2000,ALABAMA,"BUSH, GEORGE W.",REPUBLICAN,941173,1666272
